systematic_name,bp,mf
YLR194C,biological process unknown,molecular function unknown
YGR268C,actin cortical patch assembly,molecular function unknown
YNR006W,protein retention in Golgi*,protein binding
YNR016C,protein-nucleus import*,acetyl-CoA carboxylase activity*
YIL055C,biological process unknown,molecular function unknown
YAR020C,biological process unknown,molecular function unknown
YPL222W,biological process unknown,molecular function unknown
YIL042C,biological process unknown,kinase activity
YPL231W,fatty acid biosynthesis*,phosphopantetheinyltransferase activity*
YDR330W,ubiquitin-dependent protein catabolism,molecular function unknown
YPL230W,biological process unknown,molecular function unknown
YDL234C,vesicle-mediated transport,Rab GTPase activator activity
YHR095W,NA,NA
YEL020C,biological process unknown,molecular function unknown
YLR037C,biological process unknown,molecular function unknown
YLR278C,biological process unknown,molecular function unknown
YMR238W,pseudohyphal growth*,molecular function unknown
YKL050C,biological process unknown,molecular function unknown
YML117W,biological process unknown,RNA binding
YIR014W,biological process unknown,molecular function unknown
YFL013C,chromatin remodeling,molecular function unknown
YMR207C,fatty acid biosynthesis,acetyl-CoA carboxylase activity
YMR302C,rRNA processing*,exonuclease activity
YER014W,heme biosynthesis,protoporphyrinogen oxidase activity
YFR019W,response to stress*,1-phosphatidylinositol-3-phosphate 5-kinase activity
YDR081C,transcription from RNA polymerase II promoter*,transcription regulator activity
YOL004W,regulation of transcription from RNA polymerase II promoter*,histone deacetylase activity
YNL076W,regulation of nitrogen utilization,transcriptional repressor activity
YCL034W,endocytosis*,molecular function unknown
YBR289W,chromatin remodeling,general RNA polymerase II transcription factor activity
YBR071W,biological process unknown,molecular function unknown
YNL295W,biological process unknown,molecular function unknown
YKL222C,biological process unknown,molecular function unknown
YMR176W,cell wall organization and biogenesis,molecular function unknown
YPL020C,G2/M transition of mitotic cell cycle*,cysteine-type peptidase activity*
YOL024W,biological process unknown,molecular function unknown
YNL168C,biological process unknown,molecular function unknown
YDL142C,mitochondrial membrane organization and biogenesis*,cardiolipin synthase activity
YDL076C,chromatin silencing,histone deacetylase activity
YPR178W,"nuclear mRNA splicing, via spliceosome","RNA splicing factor activity, transesterification mechanism"
YHR130C,NA,NA
YDR142C,peroxisome organization and biogenesis*,peroxisome targeting signal receptor activity*
YDR376W,iron ion homeostasis*,NADPH-adrenodoxin reductase activity
YCL010C,histone acetylation,molecular function unknown
YHL019C,vesicle-mediated transport,clathrin binding
YNL236W,transcription from RNA polymerase II promoter,RNA polymerase II transcription mediator activity
YOR197W,apoptosis,caspase activity
YGL212W,vesicle fusion*,v-SNARE activity
YJR033C,vacuolar acidification*,molecular function unknown
YKL031W,NA,NA
YFL010W-A,amino acid transport,molecular function unknown
YKR104W,transport,"ATPase activity, coupled to transmembrane movement of substances"
YLR144C,actin cytoskeleton organization and biogenesis,"glucan 1,3-beta-glucosidase activity"
YLR273C,regulation of glycogen biosynthesis,protein phosphatase regulator activity
YKR086W,formation of catalytic U2-type spliceosome for second transesterification step,"RNA splicing factor activity, transesterification mechanism*"
YIL129C,cellular morphogenesis*,molecular function unknown
YLR310C,regulation of progression through cell cycle*,Ras guanyl-nucleotide exchange factor activity
YGL013C,regulation of transcription from RNA polymerase II promoter*,DNA binding*
YPL219W,regulation of glycogen biosynthesis*,cyclin-dependent protein kinase regulator activity
YJR066W,meiosis*,protein binding*
YFL024C,regulation of transcription from RNA polymerase II promoter*,histone acetyltransferase activity
YKL173W,"nuclear mRNA splicing, via spliceosome",GTPase activity*
YIL143C,transcription initiation from RNA polymerase II promoter*,general RNA polymerase II transcription factor activity*
YDL199C,biological process unknown,molecular function unknown
YDR244W,peroxisome organization and biogenesis*,peroxisome targeting sequence binding*
YJR035W,nucleotide-excision repair*,DNA-dependent ATPase activity
YHL008C,biological process unknown,transporter activity
YER093C,cell wall organization and biogenesis*,protein binding
YKL117W,protein folding,chaperone binding
YNL103W,positive regulation of transcription from RNA polymerase II promoter*,transcription coactivator activity
YIL046W,protein ubiquitination*,protein binding
YGR223C,biological process unknown,phosphoinositide binding
YOL036W,biological process unknown,molecular function unknown
YOL100W,protein amino acid phosphorylation*,protein kinase activity
YBR237W,U2-type nuclear mRNA branch site recognition,"RNA splicing factor activity, transesterification mechanism*"
YOL054W,RNA elongation from RNA polymerase II promoter,molecular function unknown
YNL215W,biological process unknown,molecular function unknown
YBR255W,biological process unknown,molecular function unknown
YGR270W,protein catabolism,ATPase activity
YNL079C,actin filament organization*,actin lateral binding
YJL047C,ubiquitin-dependent protein catabolism*,protein binding*
YDR122W,exocytosis,protein kinase activity
YER114C,establishment of cell polarity (sensu Fungi)*,phospholipid binding
YOR227W,biological process unknown,molecular function unknown
YKR046C,aerobic respiration,molecular function unknown
YOR113W,"regulation of transcription, DNA-dependent*",DNA binding*
YOL089C,transcription initiation from RNA polymerase II promoter*,specific RNA polymerase II transcription factor activity
YKL020C,positive regulation of transcription from RNA polymerase II promoter*,DNA binding*
YDR313C,protein ubiquitination,ubiquitin-protein ligase activity
YMR311C,glycogen biosynthesis,enzyme activator activity
YPL159C,biological process unknown,molecular function unknown
YLR288C,chromatin silencing at telomere*,DNA binding
YMR153W,mRNA-nucleus export*,structural molecule activity
YDR169C,biological process unknown,molecular function unknown
YHL002W,protein-vacuolar targeting,protein binding
YGL073W,regulation of transcription from RNA polymerase II promoter*,transcription factor activity
YLR330W,spore wall assembly (sensu Fungi)*,molecular function unknown
YPR032W,exocytosis*,molecular function unknown
YNL161W,regulation of exit from mitosis*,protein kinase activity
YLR451W,regulation of transcription from RNA polymerase II promoter*,specific RNA polymerase II transcription factor activity
YPL258C,thiamin biosynthesis,phosphomethylpyrimidine kinase activity*
YNL127W,cell cycle arrest in response to pheromone,molecular function unknown
YDL099W,biological process unknown,molecular function unknown
YMR164C,pseudohyphal growth*,specific RNA polymerase II transcription factor activity
YDR003W,biological process unknown,molecular function unknown
YOR332W,vacuolar acidification,"hydrogen-transporting ATPase activity, rotational mechanism"
YPR095C,vesicle-mediated transport*,ARF guanyl-nucleotide exchange factor activity
YBR052C,biological process unknown,molecular function unknown
YJL030W,mitotic spindle checkpoint,molecular function unknown
YNL276C,NA,NA
YOL148C,histone acetylation*,transcription cofactor activity
YDR159W,mRNA-nucleus export*,protein binding
YGR042W,biological process unknown,molecular function unknown
YLR283W,biological process unknown,molecular function unknown
YGR016W,biological process unknown,molecular function unknown
YPR131C,mitochondrion inheritance*,peptide alpha-N-acetyltransferase activity
YJR102C,protein-vacuolar targeting*,molecular function unknown
YGR213C,biological process unknown,molecular function unknown
YNR010W,transcription from RNA polymerase II promoter*,RNA polymerase II transcription mediator activity
YNL293W,actin filament organization*,Rab GTPase activator activity
YJL070C,biological process unknown,molecular function unknown
YLR024C,protein monoubiquitination*,ubiquitin-protein ligase activity
YHR053C,response to copper ion,copper ion binding
YHR055C,response to copper ion,copper ion binding
YOR366W,NA,NA
YLR165C,rRNA modification*,pseudouridylate synthase activity
YGL136C,rRNA modification,rRNA (uridine-2'-O-)-methyltransferase activity
YJL023C,biological process unknown,molecular function unknown
YEL012W,protein monoubiquitination*,ubiquitin conjugating enzyme activity
YGR048W,ubiquitin-dependent protein catabolism*,protein binding
YGR295C,biological process unknown,molecular function unknown
YER039C,biological process unknown,molecular function unknown
YIR033W,positive regulation of transcription from RNA polymerase II promoter*,transcriptional activator activity
YLR414C,biological process unknown,molecular function unknown
YKL161C,biological process unknown,protein kinase activity
YOR385W,biological process unknown,molecular function unknown
YKR091W,"nucleobase, nucleoside, nucleotide and nucleic acid metabolism",molecular function unknown
YHR030C,cell wall organization and biogenesis*,MAP kinase activity
YER144C,protein deubiquitination,ubiquitin-specific protease activity
YIL108W,proteolysis and peptidolysis,metalloendopeptidase activity
YBR295W,iron ion homeostasis*,"ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism"
YNL003C,S-adenosylmethionine transport,S-adenosylmethionine transporter activity
YKR075C,biological process unknown,molecular function unknown
YGR137W,NA,NA
YOL113W,protein amino acid phosphorylation*,protein serine/threonine kinase activity
YDR482C,biological process unknown,molecular function unknown
YMR030W,aerobic respiration*,molecular function unknown
YHR207C,biological process unknown,molecular function unknown
YDR108W,ER to Golgi transport*,molecular function unknown
YJR049C,iron ion homeostasis*,NAD+ kinase activity
YER116C,DNA recombination,DNA binding
YLR006C,osmosensory signaling pathway via two-component system*,enzyme activator activity*
YNL337W,NA,NA
YGL092W,mRNA-nucleus export*,structural molecule activity
YER184C,biological process unknown,molecular function unknown
YLR110C,cell wall organization and biogenesis*,molecular function unknown
YDR134C,biological process unknown,molecular function unknown
YER011W,response to stress,structural constituent of cell wall
YMR190C,mitotic sister chromatid segregation*,ATP-dependent DNA helicase activity
YLL019C,protein amino acid phosphorylation,protein serine/threonine kinase activity*
YDR032C,biological process unknown,molecular function unknown
YLR304C,mitochondrial genome maintenance*,aconitate hydratase activity
YGL062W,gluconeogenesis*,pyruvate carboxylase activity
YNL036W,response to oxidative stress,carbonate dehydratase activity
YBR285W,biological process unknown,molecular function unknown
YMR018W,biological process unknown,molecular function unknown
YPL137C,biological process unknown,molecular function unknown
YNL329C,peroxisome organization and biogenesis,ATPase activity
YDR039C,sodium ion transport,"ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism"
YDR040C,sodium ion transport,"ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism"
YBL101C,cell wall organization and biogenesis,molecular function unknown
YBR020W,galactose metabolism,galactokinase activity
YNL204C,sporulation,molecular function unknown
YOR038C,regulation of transcription from RNA polymerase II promoter,transcription corepressor activity
YGL176C,biological process unknown,molecular function unknown
YLR177W,biological process unknown,molecular function unknown
YKL126W,protein amino acid phosphorylation*,protein serine/threonine kinase activity
YDR260C,spore wall assembly (sensu Fungi)*,molecular function unknown
YJR076C,cell wall organization and biogenesis*,structural constituent of cytoskeleton*
YNL289W,cell cycle,cyclin-dependent protein kinase regulator activity
YKR051W,biological process unknown,molecular function unknown
YAL024C,regulation of exit from mitosis,guanyl-nucleotide exchange factor activity
YBL063W,microtubule nucleation*,structural constituent of cytoskeleton*
YPL008W,chromosome segregation*,DNA helicase activity
YJL110C,negative regulation of transcription from RNA polymerase II promoter*,transcription factor activity*
YDL056W,regulation of progression through cell cycle*,DNA binding*
YPL242C,actin filament organization*,cytoskeletal protein binding
YBR216C,response to oxidative stress,molecular function unknown
YEL013W,protein-vacuolar targeting*,protein binding
YNL101W,neutral amino acid transport,neutral amino acid transporter activity
YNR012W,pyrimidine salvage,uridine kinase activity
YDR352W,biological process unknown,molecular function unknown
YMR155W,biological process unknown,molecular function unknown
YGR125W,biological process unknown,molecular function unknown
YGL140C,biological process unknown,molecular function unknown
YIL088C,transport,transporter activity
YBR127C,vacuolar acidification,"hydrogen-transporting ATPase activity, rotational mechanism"
YEL023C,biological process unknown,molecular function unknown
YLR082C,"nucleobase, nucleoside, nucleotide and nucleic acid metabolism",molecular function unknown
YOR317W,lipid metabolism*,long-chain-fatty-acid-CoA ligase activity
YGR099W,telomerase-dependent telomere maintenance,telomeric DNA binding
YOL057W,proteolysis and peptidolysis,metalloendopeptidase activity
YJR127C,biological process unknown,transcription factor activity
YAL049C,biological process unknown,molecular function unknown
YIR032C,allantoin catabolism,ureidoglycolate hydrolase activity
YIR029W,allantoin catabolism,allantoicase activity
YOR348C,proline catabolism*,L-proline permease activity*
YHL016C,urea transport,urea transporter activity
YIL168W,not yet annotated,not yet annotated
YGL196W,biological process unknown,molecular function unknown
YLR142W,glutamate biosynthesis*,proline dehydrogenase activity
YNL183C,regulation of nitrogen utilization,kinase activity
YNL314W,transcription initiation from RNA polymerase II promoter*,transcriptional activator activity
YKR021W,biological process unknown,molecular function unknown
YPL024W,response to DNA damage stimulus,molecular function unknown
YKL157W,peptide metabolism,leucyl aminopeptidase activity
YMR170C,aldehyde metabolism*,aldehyde dehydrogenase activity
YDL238C,guanine metabolism,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides*"
YIL146C,cell wall organization and biogenesis,molecular function unknown
YLR436C,cell wall organization and biogenesis,molecular function unknown
YBR139W,biological process unknown,carboxypeptidase C activity
YLR257W,biological process unknown,molecular function unknown
YHR171W,protein-vacuolar targeting*,ubiquitin-like conjugating enzyme activity
YJR138W,biological process unknown,molecular function unknown
YDL239C,protein complex assembly*,protein binding
YIL167W,biological process unknown*,molecular function unknown*
YHR202W,biological process unknown,molecular function unknown
YDR242W,biological process unknown,amidase activity
YDL057W,biological process unknown,molecular function unknown
YLR299W,glutathione catabolism,protein-glutamine gamma-glutamyltransferase activity
YKL103C,vacuolar protein catabolism,aminopeptidase I activity
YML099C,arginine metabolism*,transcription cofactor activity
YOL019W,biological process unknown,molecular function unknown
YOR003W,protein catabolism,peptidase activity
YLR164W,biological process unknown,molecular function unknown
YBR043C,multidrug transport,multidrug efflux pump activity
YLR158C,asparagine catabolism*,asparaginase activity
YLR160C,asparagine catabolism*,asparaginase activity
YLR155C,asparagine catabolism*,asparaginase activity
YLR157C,asparagine catabolism*,asparaginase activity
YEL066W,histone acetylation,histone acetyltransferase activity
YIR010W,chromosome segregation,molecular function unknown
YIL089W,biological process unknown,molecular function unknown
YNL129W,nicotinamide riboside metabolism,nicotinamide riboside kinase activity
YEL064C,transport,transporter activity
YHR037W,glutamate biosynthesis*,1-pyrroline-5-carboxylate dehydrogenase activity
YKR039W,amino acid transport*,L-proline permease activity*
YDL231C,endocytosis,molecular function unknown
YIR027C,allantoin catabolism,allantoinase activity
YJL172W,proteolysis and peptidolysis*,Gly-X carboxypeptidase activity
YIR031C,allantoin catabolism,malate synthase activity
YJR152W,allantoate transport,allantoate transporter activity
YIR028W,allantoin transport,allantoin permease activity
YNL142W,pseudohyphal growth*,ammonium transporter activity
YMR088C,basic amino acid transport,basic amino acid permease activity
YOL128C,protein amino acid phosphorylation*,glycogen synthase kinase 3 activity
YBR208C,allantoin catabolism*,allophanate hydrolase activity*
YIL173W,Golgi to vacuole transport,signal sequence binding
YJL222W,Golgi to vacuole transport,signal sequence binding
YLR351C,biological process unknown,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds"
YPL236C,biological process unknown,protein kinase activity
YEL062W,urea transport*,channel regulator activity
YJL146W,meiosis,molecular function unknown
YDL171C,glutamate biosynthesis,glutamate synthase (NADH) activity
YJR004C,agglutination during conjugation with cellular fusion,cell adhesion molecule binding
YDL185W,vacuolar acidification*,"hydrogen-transporting ATPase activity, rotational mechanism*"
YLR053C,biological process unknown,molecular function unknown
YBR183W,ceramide metabolism,ceramidase activity
YIL038C,regulation of transcription from RNA polymerase II promoter*,3'-5'-exoribonuclease activity
YLR056W,ergosterol biosynthesis,C-5 sterol desaturase activity
YMR102C,biological process unknown,molecular function unknown
YBR006W,response to oxidative stress*,succinate-semialdehyde dehydrogenase [NAD(P)+] activity
YKL035W,protein amino acid glycosylation*,UTP-glucose-1-phosphate uridylyltransferase activity
YCR077C,chromosome segregation*,molecular function unknown
YLR373C,vacuolar protein catabolism,molecular function unknown
YDL106C,transcription*,transcription factor activity
YAL002W,late endosome to vacuole transport,molecular function unknown
YDL188C,protein biosynthesis*,protein phosphatase type 2A activity
YPL017C,biological process unknown,S-adenosylmethionine-dependent methyltransferase activity
YGL008C,regulation of pH*,"hydrogen-exporting ATPase activity, phosphorylative mechanism"
YBR287W,biological process unknown,molecular function unknown
YNL092W,biological process unknown,S-adenosylmethionine-dependent methyltransferase activity
YMR100W,regulation of cell budding,molecular function unknown
YDR505C,biological process unknown,molecular function unknown
YGL180W,autophagy,protein serine/threonine kinase activity
YDL170W,regulation of transcription from RNA polymerase II promoter*,transcription factor activity*
YFL050C,magnesium ion transport*,"di-, tri-valent inorganic cation transporter activity"
YJL167W,ergosterol biosynthesis*,dimethylallyltranstransferase activity*
YPL002C,protein-vacuolar targeting*,molecular function unknown
YER124C,cell wall organization and biogenesis,molecular function unknown
YGL250W,biological process unknown,molecular function unknown
YLR286C,"cytokinesis, completion of separation*",endochitinase activity
YNR067C,"cytokinesis, completion of separation","glucan 1,3-beta-glucosidase activity"
YDL055C,protein amino acid glycosylation*,mannose-1-phosphate guanylyltransferase activity
YBR016W,response to dessication,molecular function unknown
YJR107W,biological process unknown,lipase activity
YFL006W,NA,NA
YJL068C,formaldehyde catabolism,carboxylesterase activity
YKL098W,biological process unknown,molecular function unknown
YLR384C,regulation of transcription from RNA polymerase II promoter,RNA polymerase II transcription elongation factor activity*
YDR213W,sterol biosynthesis*,RNA polymerase II transcription factor activity
YDR488C,"nuclear migration, microtubule-mediated*",microtubule motor activity*
YBR202W,DNA replication initiation*,chromatin binding*
YNL163C,ribosomal large subunit biogenesis*,GTPase activity
YPR084W,biological process unknown,molecular function unknown
YOR110W,transcription initiation from RNA polymerase III promoter,RNA polymerase III transcription factor activity
YGL137W,ER to Golgi transport*,molecular function unknown
YJL029C,Golgi to vacuole transport*,protein binding
YGR210C,biological process unknown,molecular function unknown
YGL245W,glutamyl-tRNA aminoacylation,glutamate-tRNA ligase activity
YER120W,chromatin silencing at telomere*,protein binding
YOR112W,biological process unknown,molecular function unknown
YKR059W,translational initiation,translation initiation factor activity
YJL138C,translational initiation*,translation initiation factor activity*
YIR007W,biological process unknown,molecular function unknown
YDR129C,endocytosis*,"protein binding, bridging*"
YBR177C,lipid metabolism,serine hydrolase activity
YKR089C,biological process unknown,molecular function unknown
YMR008C,glycerophospholipid metabolism,lysophospholipase activity
YJL171C,biological process unknown,molecular function unknown
YDL247W-A,NA,NA
YDL087C,mRNA splice site selection,mRNA binding
YGL226W,biological process unknown,molecular function unknown
YKL018C-A,biological process unknown,molecular function unknown
YEL059C-A,proteolysis and peptidolysis,molecular function unknown
YPR002C-A,NA,NA
YDR366C,biological process unknown,molecular function unknown
YGR133W,peroxisome organization and biogenesis*,ubiquitin conjugating enzyme activity
YBR290W,protein-vacuolar targeting*,molecular function unknown*
YLR190W,mitochondrion inheritance,molecular function unknown
YOR244W,regulation of transcription from RNA polymerase II promoter*,histone acetyltransferase activity
YJL090C,DNA replication initiation*,protein binding
YOR058C,mitotic spindle organization and biogenesis in nucleus*,microtubule binding
YIL159W,actin filament organization*,cytoskeletal protein binding
YOL026C,protein complex assembly*,molecular function unknown
YGL103W,protein biosynthesis,structural constituent of ribosome*
YBR253W,transcription from RNA polymerase II promoter,RNA polymerase II transcription mediator activity
YPL065W,protein-vacuolar targeting*,molecular function unknown
YLL032C,biological process unknown,molecular function unknown
YFR026C,biological process unknown,molecular function unknown
YGR251W,processing of 20S pre-rRNA,molecular function unknown
YDL028C,mitotic spindle checkpoint*,protein threonine/tyrosine kinase activity
YNL136W,regulation of transcription from RNA polymerase II promoter*,molecular function unknown
YMR014W,bud site selection,molecular function unknown
YJL009W,NA,NA
YNL164C,mitotic spindle checkpoint,molecular function unknown
YKR040C,NA,NA
YFL068W,biological process unknown,molecular function unknown
Q0017,NA,NA
YAL040C,G1/S transition of mitotic cell cycle*,cyclin-dependent protein kinase regulator activity
YFL067W,biological process unknown,molecular function unknown
YLR465C,NA,NA
YGL226C-A,protein amino acid N-linked glycosylation,dolichyl-diphosphooligosaccharide-protein glycotransferase activity
YCR092C,DNA recombination*,damaged DNA binding
YLR274W,DNA replication initiation*,chromatin binding*
YCL064C,threonine catabolism*,L-serine ammonia-lyase activity*
YBL096C,NA,NA
YKR029C,histone deacetylation*,NAD-dependent histone deacetylase activity*
YFL049W,biological process unknown,molecular function unknown
YGR009C,vesicle fusion*,t-SNARE activity
YDR195W,mRNA processing*,RNA binding
YAR053W,NA,NA
YML009C-A,NA,NA
YDR034C-A,biological process unknown,molecular function unknown
YMR046W-A,NA,NA
YBL077W,NA,NA
YNL059C,protein-vacuolar targeting*,molecular function unknown
YMR086C-A,NA,NA
YNR023W,chromatin remodeling,general RNA polymerase II transcription factor activity
YBR123C,transcription initiation from RNA polymerase III promoter,RNA polymerase III transcription factor activity
YLR442C,double-strand break repair via nonhomologous end-joining*,histone binding*
YGR113W,mitotic spindle organization and biogenesis in nucleus*,structural constituent of cytoskeleton
YGL116W,mitotic sister chromatid segregation*,enzyme activator activity
YPL077C,biological process unknown,molecular function unknown
YBR217W,protein-vacuolar targeting*,molecular function unknown
YDR167W,transcription initiation from RNA polymerase II promoter*,general RNA polymerase II transcription factor activity
YCR035C,35S primary transcript processing*,3'-5'-exoribonuclease activity
YML053C,biological process unknown,molecular function unknown
YLR015W,chromatin silencing at telomere*,transcription regulator activity*
YOR106W,vesicle fusion*,t-SNARE activity
YMR127C,chromatin silencing at telomere,acetyltransferase activity*
YDR389W,small GTPase mediated signal transduction*,signal transducer activity*
YPL253C,mitotic sister chromatid cohesion*,microtubule motor activity
YPR070W,transcription from RNA polymerase II promoter,RNA polymerase II transcription mediator activity
YLR182W,meiosis*,protein binding*
YER155C,cell wall organization and biogenesis*,signal transducer activity*
YLR319C,actin filament organization*,cytoskeletal regulatory protein binding
YLR233C,telomerase-dependent telomere maintenance,RNA binding*
YHR129C,establishment of mitotic spindle orientation*,structural constituent of cytoskeleton
YLR313C,actin filament organization*,cytoskeletal regulatory protein binding
YNL299W,sister chromatid cohesion*,DNA-directed DNA polymerase activity*
YER029C,"nuclear mRNA splicing, via spliceosome","RNA splicing factor activity, transesterification mechanism"
YHR146W,biological process unknown,DNA binding
YKL125W,transcription from RNA polymerase I promoter,RNA polymerase I transcription factor activity
YDL180W,biological process unknown,molecular function unknown
YKR023W,biological process unknown,molecular function unknown
YMR044W,chromatin remodeling,protein binding
YDR026C,biological process unknown,DNA binding
YLR323C,biological process unknown,molecular function unknown
YMR111C,biological process unknown,molecular function unknown
YGR196C,biological process unknown,molecular function unknown
YLR438C-A,"nuclear mRNA splicing, via spliceosome*",RNA binding
YGL124C,protein-vacuolar targeting*,molecular function unknown
YDL007W,ubiquitin-dependent protein catabolism,ATPase activity*
YPL234C,vacuolar acidification,"hydrogen-transporting ATPase activity, rotational mechanism"
YOL049W,glutathione biosynthesis,glutathione synthase activity
YOR099W,protein amino acid O-linked glycosylation*,"alpha-1,2-mannosyltransferase activity"
YBR279W,RNA elongation from RNA polymerase II promoter*,RNA polymerase II transcription elongation factor activity
YOR056C,processing of 20S pre-rRNA*,protein binding*
YNL023C,biological process unknown,transcription factor activity
YKR025W,transcription from RNA polymerase III promoter,DNA-directed RNA polymerase activity
YER171W,transcription initiation from RNA polymerase II promoter*,general RNA polymerase II transcription factor activity*
YCR026C,biological process unknown,molecular function unknown
YCR025C,NA,NA
YDL203C,biological process unknown,molecular function unknown
YJR060W,chromatin assembly or disassembly*,DNA binding*
YDR332W,biological process unknown,helicase activity
YFR046C,chromosome segregation,molecular function unknown
YML071C,intra-Golgi transport,molecular function unknown
YHR184W,protein complex assembly*,molecular function unknown
YPL168W,biological process unknown,molecular function unknown
YMR163C,biological process unknown,molecular function unknown
YBR107C,chromosome segregation,molecular function unknown
YHL013C,biological process unknown,molecular function unknown
YGR072W,mRNA catabolism*,molecular function unknown
YKR078W,protein transport,protein transporter activity
YER041W,biological process unknown,single-stranded DNA specific endodeoxyribonuclease activity
YIL013C,sterol transport,"ATPase activity, coupled to transmembrane movement of substances"
YOL006C,regulation of transcription from RNA polymerase II promoter*,DNA topoisomerase type I activity
YMR224C,DNA repair*,protein binding*
YMR106C,chromatin assembly or disassembly*,RNA binding*
YFL042C,biological process unknown,molecular function unknown
YDR359C,chromatin modification,molecular function unknown
YDL138W,signal transduction*,receptor activity*
YJR078W,NAD biosynthesis,"tryptophan 2,3-dioxygenase activity"
YGL104C,protein-vacuolar targeting,molecular function unknown
YFR016C,biological process unknown,molecular function unknown
YHR073W,steroid biosynthesis,oxysterol binding
YPL221W,biological process unknown,molecular function unknown
YJL079C,biological process unknown,molecular function unknown
YNL237W,biological process unknown,molecular function unknown
YDR301W,mRNA polyadenylylation*,RNA binding
YHR195W,microautophagy,protein binding
YDR381W,mRNA-nucleus export,RNA binding
YPR075C,cell cycle arrest in response to pheromone,molecular function unknown
YDL086W,biological process unknown,carboxymethylenebutenolidase activity
YGL203C,protein processing,carboxypeptidase D activity
YGR121C,ammonium transport,ammonium transporter activity
YPL042C,protein amino acid phosphorylation*,general RNA polymerase II transcription factor activity*
YAL047C,mitotic sister chromatid segregation*,structural constituent of cytoskeleton
YDR208W,sporulation (sensu Fungi)*,1-phosphatidylinositol-4-phosphate 5-kinase activity
YDR466W,MAPKKK cascade during cell wall biogenesis,protein kinase activity
YAL031C,biological process unknown,molecular function unknown
YER147C,sister chromatid cohesion*,molecular function unknown
YPL232W,vesicle fusion*,t-SNARE activity
YGR013W,"nuclear mRNA splicing, via spliceosome",RNA binding
YNL068C,pseudohyphal growth*,transcription factor activity
YBR223C,DNA repair,tyrosyl-DNA phosophodiesterase activity
YPL101W,regulation of transcription from RNA polymerase II promoter,RNA polymerase II transcription elongation factor activity
YDR028C,negative regulation of transcription from RNA polymerase II promoter*,protein phosphatase type 1 activity*
YPL249C,ER to Golgi transport*,Rab GTPase activator activity
YKL028W,transcription initiation from RNA polymerase II promoter,general RNA polymerase II transcription factor activity
YFL066C,biological process unknown,molecular function unknown
YPL155C,"nuclear migration, microtubule-mediated*",microtubule motor activity
YKL043W,pseudohyphal growth,specific RNA polymerase II transcription factor activity
YDR153C,Golgi to endosome transport*,clathrin binding
YHR107C,cell wall organization and biogenesis*,GTPase activity*
YOL145C,transcription from RNA polymerase II promoter*,RNA polymerase II transcription elongation factor activity*
YLR399C,DNA repair*,transcription regulator activity
YHR023W,response to osmotic stress*,microfilament motor activity
YOR118W,biological process unknown,molecular function unknown
YJL127C,chromatin remodeling*,histone acetyltransferase activity
YFR040W,G1/S transition of mitotic cell cycle,protein serine/threonine phosphatase activity
YMR219W,chromatin silencing at telomere,molecular function unknown
YJL042W,cell wall organization and biogenesis*,structural constituent of cytoskeleton
YDR293C,cell wall organization and biogenesis,RNA binding
YAL005C,protein folding*,ATPase activity*
YDR186C,biological process unknown,molecular function unknown
YBR179C,mitochondrion organization and biogenesis*,GTPase activity
YBR203W,signal transduction,molecular function unknown
YOR178C,meiosis*,protein phosphatase type 1 activity*
YLL001W,mitochondrion organization and biogenesis*,GTPase activity
YGR194C,xylulose catabolism,xylulokinase activity
YDR133C,NA,NA
YBR081C,protein complex assembly*,structural molecule activity
YLR135W,DNA replication*,5'-flap endonuclease activity
YBL019W,DNA repair,phosphodiesterase I activity*
YJL013C,mitotic spindle checkpoint,molecular function unknown
YML109W,establishment of cell polarity (sensu Fungi)*,molecular function unknown
YBL037W,vesicle-mediated transport,molecular function unknown
YMR086W,biological process unknown,molecular function unknown
YDL019C,steroid biosynthesis,oxysterol binding
YLR219W,meiotic recombination,molecular function unknown
YBL047C,endocytosis,molecular function unknown
YBL007C,cell wall organization and biogenesis*,"protein binding, bridging*"
YIL126W,meiosis*,ATPase activity*
YJL019W,mitotic sister chromatid cohesion*,molecular function unknown
YDR310C,chromatin silencing at telomere*,transcriptional repressor activity
YGR002C,chromatin remodeling*,DNA binding
YNL271C,actin filament organization*,cytoskeletal regulatory protein binding
YER034W,biological process unknown,molecular function unknown
YGR141W,protein-vacuolar targeting,molecular function unknown
YJL093C,potassium ion homeostasis,potassium channel activity
YDR049W,biological process unknown,molecular function unknown
YGL161C,vesicle-mediated transport,Rab GTPase binding
YFR050C,ubiquitin-dependent protein catabolism,endopeptidase activity
YDL183C,biological process unknown,molecular function unknown
YBL054W,biological process unknown,molecular function unknown
YJL126W,biological process unknown,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds"
YDR173C,arginine metabolism*,inositol or phosphatidylinositol kinase activity
YNR049C,sporulation (sensu Fungi)*,molecular function unknown
YDR463W,positive regulation of transcription from RNA polymerase II promoter*,transcription factor activity*
YLR223C,rRNA processing*,transcription factor activity
YEL025C,biological process unknown,molecular function unknown
Q0297,NA,NA
YER123W,protein amino acid phosphorylation,casein kinase I activity
